"block","response","text","time_elapsed","condition","participant_id","study_id","session_id"
"practice_a","[""cat""]","The children found the %butter% under the house.","17675","condition_b","21215","",""
"practice_a","[""apple""]","My teacher drew  a(n)  %ladder% in our class.","25849","condition_b","21215","",""
"practice_a","[""writer""]","An author is called  a(n)  %writer% sometimes.","33386","condition_b","21215","",""
"practice_a","[""cans""]","My brother collects %bottles% for recycling.","38980","condition_b","21215","",""
"practice_b","[""festival""]","The children sang at the %battle% last week.","52602","condition_b","21215","",""
"practice_b","[""souvenir""]","The man found  a(n)  %fiddle% from Italy.","65996","condition_b","21215","",""
"practice_b","[""stack""]","The child found a way to %whittle% sticks.","92875","condition_b","21215","",""
"practice_b","[""fly""]","The geese like to %waddle% down to the pond.","102662","condition_b","21215","",""
"main","[""herd""]","The woods are home to a(n) %elf% since last year.","128534","condition_b","21215","",""
"main","[""fire""]","The watchman found the %rails% last Friday night.","149102","condition_b","21215","",""
"main","[""book""]","He was looking for the %ale% on the shelf.","155062","condition_b","21215","",""
"main","[""fence""]","I crashed into a(n) %elk% on my way home.","165364","condition_b","21215","",""
"main","[""math""]","Many children learn about %Britain% in school.","188996","condition_b","21215","",""
"main","[""sale""]","The store is ready for the %sale% next weekend.","198902","condition_b","21215","",""
"main","[""latin""]","The Roman people spoke %Latin% in ancient times.","203851","condition_b","21215","",""
"main","[""net""]","The acrobat landed near the %helm% safely.","220909","condition_b","21215","",""
"main","[""reports""]","She will need seven %cartons% by Tuesday.","233013","condition_b","21215","",""
"main","[""rabbit""]","The children found  a(n)  %whale% in the backyard.","239333","condition_b","21215","",""
"main","[""hint""]","The sweater had lovely %buttons% of gold.","249997","condition_b","21215","",""
"main","[""flowers""]","The gardener planted %shells% in the beds.","272126","condition_b","21215","",""
"main","[""rain""]","The backpacker hiked in the %mountains% last weekend.","280083","condition_b","21215","",""
"main","[""temperature""]","The doctor checked the child's %health% yesterday.","291003","condition_b","21215","",""
"main","[""cells""]","The student saw the %cell% with the microscope.","301115","condition_b","21215","",""
"main","[""patch""]","The man bought a leather %belt% for his pants.","308612","condition_b","21215","",""
"main","[""rumors""]","The reporter heard the %tale% about Bigfoot.","320542","condition_b","21215","",""
"main","[""money""]","My pharmacist used %elm% for the cough drops.","367933","condition_b","21215","",""
"main","[""spot""]","The hiker found a new %trail% in the woods.","385243","condition_b","21215","",""
"main","[""silk""]","The shirt was made of %cotton% rather than wool.","412262","condition_b","21215","",""
"main","[""bell""]","The baroness rang  a(n)  %bell% for service.","426638","condition_b","21215","",""
"main","[""pond""]","The water splashed in the %fountain% noisely.","433172","condition_b","21215","",""
"main","[""nail""]","The carpenter hammered the %nail% firmly.","438910","condition_b","21215","",""
"main","[""rigs""]","Texas has many oil %wells% in the fields.","444838","condition_b","21215","",""
"main","[""dog""]","They heard the noise from the %kitten% next door.","448764","condition_b","21215","",""
"main","[""wrench""]","The mechanic found the %kale% in the trunk.","455758","condition_b","21215","",""
"main","[""remote""]","The children saw the %mittens% on the sofa.","468421","condition_b","21215","",""
"main","[""mail""]","They received a letter in the %mail% today.","472204","condition_b","21215","",""
"main","[""salesman""]","The children saw the %curtains% from outside.","484639","condition_b","21215","",""
"main","[""eggs""]","The woman saw  a(n)  %snail% next to the milk.","492148","condition_b","21215","",""
