"block","response","text","time_elapsed","condition","participant_id","study_id","session_id"
"practice_a","[""bones""]","The children found the %butter% under the house.","42640","condition_b","44847","",""
"practice_a","[""apple""]","My teacher drew  a(n)  %ladder% in our class.","53399","condition_b","44847","",""
"practice_a","[""bastard""]","An author is called  a(n)  %writer% sometimes.","61138","condition_b","44847","",""
"practice_a","[""cans""]","My brother collects %bottles% for recycling.","66152","condition_b","44847","",""
"practice_b","[""choir""]","The children sang at the %battle% last week.","79632","condition_b","44847","",""
"practice_b","[""relic""]","The man found  a(n)  %fiddle% from Italy.","88344","condition_b","44847","",""
"practice_b","[""build""]","The child found a way to %whittle% sticks.","96512","condition_b","44847","",""
"practice_b","[""swim""]","The geese like to %waddle% down to the pond.","101048","condition_b","44847","",""
"main","[""tribe""]","The woods are home to a(n) %elf% since last year.","130673","condition_b","44847","",""
"main","[""evidence""]","The watchman found the %rails% last Friday night.","139105","condition_b","44847","",""
"main","[""elf""]","He was looking for the %ale% on the shelf.","142673","condition_b","44847","",""
"main","[""wall""]","I crashed into a(n) %elk% on my way home.","147201","condition_b","44847","",""
"main","[""history""]","Many children learn about %Britain% in school.","151225","condition_b","44847","",""
"main","[""sale""]","The store is ready for the %sale% next weekend.","154617","condition_b","44847","",""
"main","[""Roman""]","The Roman people spoke %Latin% in ancient times.","162425","condition_b","44847","",""
"main","[""mat""]","The acrobat landed near the %helm% safely.","167433","condition_b","44847","",""
"main","[""eggs""]","She will need seven %cartons% by Tuesday.","172234","condition_b","44847","",""
"main","[""camp""]","The children found  a(n)  %whale% in the backyard.","178929","condition_b","44847","",""
"main","[""threads""]","The sweater had lovely %buttons% of gold.","183970","condition_b","44847","",""
"main","[""tomatoes""]","The gardener planted %shells% in the beds.","188898","condition_b","44847","",""
"main","[""woods""]","The backpacker hiked in the %mountains% last weekend.","193650","condition_b","44847","",""
"main","[""health""]","The doctor checked the child's %health% yesterday.","198946","condition_b","44847","",""
"main","[""cells""]","The student saw the %cell% with the microscope.","202482","condition_b","44847","",""
"main","[""belt""]","The man bought a leather %belt% for his pants.","208570","condition_b","44847","",""
"main","[""rumors""]","The reporter heard the %tale% about Bigfoot.","214546","condition_b","44847","",""
"main","[""wrappers""]","My pharmacist used %elm% for the cough drops.","224754","condition_b","44847","",""
"main","[""friend""]","The hiker found a new %trail% in the woods.","229026","condition_b","44847","",""
"main","[""polyester""]","The shirt was made of %cotton% rather than wool.","238082","condition_b","44847","",""
"main","[""bell""]","The baroness rang  a(n)  %bell% for service.","243675","condition_b","44847","",""
"main","[""tub""]","The water splashed in the %fountain% noisely.","251579","condition_b","44847","",""
"main","[""nail""]","The carpenter hammered the %nail% firmly.","254859","condition_b","44847","",""
"main","[""rigs""]","Texas has many oil %wells% in the fields.","258171","condition_b","44847","",""
"main","[""backyard""]","They heard the noise from the %kitten% next door.","266395","condition_b","44847","",""
"main","[""wrench""]","The mechanic found the %kale% in the trunk.","271035","condition_b","44847","",""
"main","[""dog""]","The children saw the %mittens% on the sofa.","276107","condition_b","44847","",""
"main","[""mail""]","They received a letter in the %mail% today.","280819","condition_b","44847","",""
"main","[""men""]","The children saw the %curtains% from outside.","285115","condition_b","44847","",""
"main","[""cookie""]","The woman saw  a(n)  %snail% next to the milk.","290411","condition_b","44847","",""
